Source;Records;Most recorded island groups;;Source
Gargominy et al. 2018;9126;New Caledonia,Clipperton;;Gargominy, O., S. Tercerie, C. Régnier, T. Ramage, P. Dupont, E. Vandel, P. Daszkiewicz, G. Léotard, R. Courtecuisse, A. Canard, A. Lévêque, S. Leblond, J.-C. De Massary, H. Jourdan, M. Dewynter, A. Horellou, P. Noël, T. Noblecourt, J. Comolet, J. Touroult, J. Barbut, Q. Rome, E. Delfosse, J.-F. Bernard, B. Bock, V. Malécot, V. Boullet, V. Hugonnot, S. Robbert Gradstein, E. Lavocat Bernard, C. Ah-Peng, P. A. Moreau, and M. Lebouvier. 2018. TAXREF v12.0, référentiel taxonomique pour la France. Muséum national d'Histoire naturelle, Paris. https://inpn.mnhn.fr/telechargement/referentielEspece/taxref/12.0/menu. Downloaded on 13 February 2019.
Imada 2019;5104;Hawaiian,NW Hawaiian;;"Imada, C. T., editor. 2019. Hawaiian Naturalized Vascular Plants Checklist. February 2019 update edition. Bishop Musem Technical Report 69. Bishop Museum, Honolulu; Hawai‘i."
Florence et al. 2013;4119;Society,Marquesas,Tubuai;;Florence, J./Chevillotte, H./Ollier, C./Meyer, J.-Y. 2013. Base de données botaniques Nadeaud de l'Herbier de la Polynésie Française (PAP). (online resource).
Fosberg et al. 1979;2780;Mariana,Northern Palau,Yap;;Fosberg, F. R./Sachet, Marie-Hélène/Oliver, Royce. 1979. A geographical checklist of the Micronesian dicotyledonae. Micronesica 15:1-295.
Wagner et al. 1999;2600;Hawaiian,NW Hawaiian,Solomon_Bismark;;Wagner, Warren L./Herbst, Derral R./Sohmer, S. H. 1999. Manual of the flowering plants of Hawaii. Revised edition. Bernice P. Bishop Museum special publication. University of Hawai‘i Press/Bishop Museum Press, Honolulu. 1919 pp. (two volumes).
Raulerson 2006;1982;Mariana;;Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1–69.
Charles Darwin Foundation 2008;1601;Galapagos,Solomon_Bismark;;Charles Darwin Foundation. 2008. Database inventory of introduced plant species in the rural and urban zones of Galapagos. Charles Darwin Foundation, Galapagos, Ecuador.
Florence et al. 2007 ;1600;Society,Marquesas,Tubuai;;Florence, J., H. Chevillotte, C. Ollier, and J. Y. Meyer. 2007. Base de données botaniques Nadeaud de l'Herbier de la Polynésie française (PAP). Pape'ete, Tahiti, French Polynesia. original: http://www.herbier-tahiti.pf/ - now: https://inpn.mnhn.fr/espece/inventaire/I220. Downloaded on 1 July 2011.
Fosberg et al. 1987;1467;Mariana,Northern Palau,Chuuk;;Fosberg, F. R./Sachet, Marie-Hélène/Oliver, Royce. 1987. A geographical checklist of the Micronesian monocotyledonae. Micronesica 20:1-126.
McCormack 2013;1170;Southern Cook,Northern Cook,Chuuk;;McCormack, Gerald. 2013. Cook Islands Biodiversity Database, Version 2007.2. Cook Islands Natural Heritage Trust, Rarotonga.
McCormack 2007;1076;Southern Cook,Northern Cook;;McCormack, G. 2007. Cook Islands Biodiversity Database, Version 2007.2. Cook Islands Natural Heritage Trust, Rarotonga. http://cookislands.bishopmuseum.org. Downloaded on 30 April 2018.
MacKee 1994;1054;New Caledonia,Loyaute,Hunter and Matthew;;MacKee, H. S. 1994. Catalogue des plantes introduites et cultivées en Nouvelle-Calédonie. Muséum National d'Histoire Naturelle, Paris, 164 p.
Lorence & Wagner 2013;1042;Marquesas;;Lorence, David H./Wagner, Warren L. 2013. Flora of the Marquesas Islands. National Tropical Botanical Garden and the Smithsonian Institution. Online database.
Wagner & Lorence 2002;1020;Marquesas;;Wagner, W. L., and D. H. Lorence. 2002. Flora of the Marquesas Islands website. Washington, DC. http://botany.si.edu/pacificislandbiodiversity/marquesasflora/index.htm. Downloaded on 28 November 2014.
Space et al. 2003. ;881;Northern Palau,Southern Palau;;Space, James C./Waterhouse, Barbara/Miles, Joel E./Tiobech, Joseph/Rengulbai, Kashgar. 2003. Report to the Republic of Palau on invasive plant species of environmental concern. USDA Forest Service, Honolulu. 174 pp.
