"";"x"
"1";"Blechum pyramidatum_Aunu'u"
"2";"Tetragonia tetragonoides_Alejandro Selkirk"
"3";"Cordyline fruticosa_Aiwa"
"4";"Cordyline fruticosa_Nasoata"
"5";"Pinus caribaea_Rotuma"
"6";"Cenchrus echinatus_Clipperton"
"7";"Selaginella erythropus_Guam"
"8";"Leucaena leucocephala_Kiritimati"
"9";"Pseuderanthemum carruthersii_Kanton"
"10";"Calophyllum inophyllum_Ailinginae"
"11";"NA_Enewetak"
"12";"Adenostemma lanceolatum_Majuro"
"13";"Alternanthera sessilis_Norfolk"
"14";"Eleusine indica_Nauru"
"15";"Mangifera indica_Agakauitai"
"16";"Adenanthera pavonina_NA"
"17";"Amaranthus viridis_Johnston"
"18";"Ruellia prostrata_Fanuatapu"
"19";"Pityrogramma calomelanos_Eiao"
"20";"Nephrolepis biserrata_Maupiti"
"21";"Dactyloctenium aegyptium_San Cristobal"
"22";"Senegalia rugata_Grande Terre"
"23";"Agrostis capillaris_Santa Cruz"
"24";"Annona muricata_Aitutaki"
"25";"Arundo donax_Grande Terre"
"26";"Senegalia rugata_Grande Terre"
"27";"Najas marina_Clipperton"
"28";"Abutilon grandiflorum_Easter"
"29";"Atriplex suberecta_French Frigate Shoals"
"30";"NA_Ngerebelas"
"31";"Abelmoschus moschatus_Atiu"
"32";"Abelmoschus moschatus_Eua"
"33";"Abelmoschus moschatus_Eua"
"34";"Abelmoschus moschatus_Eua"
"35";"Abelmoschus moschatus_Eua"
"36";"Abelmoschus moschatus_Uiha"
"37";"Abelmoschus moschatus_Akamaru"
"38";"Abelmoschus moschatus_Akamaru"
"39";"Abelmoschus moschatus_Akamaru"
"40";"Abelmoschus moschatus_Anatahan"
"41";"Abelmoschus moschatus_Anatahan"
"42";"Abelmoschus moschatus_Anatahan"
"43";"Abelmoschus moschatus_Anatahan"
"44";"Abelmoschus moschatus_Anuta"
"45";"Abelmoschus moschatus_Arno"
"46";"Abelmoschus moschatus_Babeldaob"
"47";"Abelmoschus moschatus_Babeldaob"
"48";"Abelmoschus moschatus_NA"
"49";"Abelmoschus moschatus_NA"
"50";"Abelmoschus moschatus_Bougainville"
"51";"Abelmoschus moschatus_NA"
"52";"Abelmoschus moschatus_NA"
"53";"Abelmoschus moschatus_Dublon"
"54";"Abelmoschus moschatus_Fais"
"55";"Abelmoschus moschatus_NA"
"56";"Abelmoschus moschatus_Grande Terre"
"57";"Abelmoschus moschatus_Guam"
"58";"Abelmoschus moschatus_Guam"
"59";"Abelmoschus moschatus_Guam"
"60";"Abelmoschus moschatus_Guam"
"61";"Abelmoschus moschatus_Ifalik"
"62";"Abelmoschus moschatus_Kabara"
"63";"Abelmoschus moschatus_Kabara"
"64";"Abelmoschus moschatus_Kaua'i"
"65";"Abelmoschus moschatus_Kayangel"
"66";"Abelmoschus moschatus_Kosrae"
"67";"Abelmoschus moschatus_Kosrae"
"68";"Abelmoschus moschatus_Kosrae"
"69";"Abelmoschus moschatus_Late"
"70";"Abelmoschus moschatus_Majuro"
"71";"Abelmoschus moschatus_Maupiti"
"72";"Abelmoschus moschatus_Miti'aro"
"73";"Abelmoschus moschatus_Niue"
"74";"Abelmoschus moschatus_Niue"
"75";"Abelmoschus moschatus_Niue"
"76";"Abelmoschus moschatus_Niue"
"77";"Abelmoschus moschatus_Niue"
"78";"Abelmoschus moschatus_O'ahu"
"79";"Abelmoschus moschatus_Ofu"
"80";"Abelmoschus moschatus_Olosega"
"81";"Abelmoschus moschatus_Olosega"
"82";"Abelmoschus moschatus_Olosega"
"83";"Abelmoschus moschatus_Olosega"
"84";"Abelmoschus moschatus_Pohnpei"
"85";"Abelmoschus moschatus_Pohnpei"
"86";"Abelmoschus moschatus_Pohnpei"
"87";"Abelmoschus moschatus_Pohnpei"
"88";"Abelmoschus moschatus_Pohnpei"
"89";"Abelmoschus moschatus_Pohnpei"
"90";"Abelmoschus moschatus_Pohnpei"
"91";"Abelmoschus moschatus_Pohnpei"
"92";"Abelmoschus moschatus_Pohnpei"
"93";"Abelmoschus moschatus_Pohnpei"
"94";"Abelmoschus moschatus_Pohnpei"
"95";"Abelmoschus moschatus_Pohnpei"
"96";"Abelmoschus moschatus_Pohnpei"
"97";"Abelmoschus moschatus_Pohnpei"
"98";"Abelmoschus moschatus_Pohnpei"
"99";"Abelmoschus moschatus_Pohnpei"
"100";"Abelmoschus moschatus_Raiatea"
"101";"Abelmoschus moschatus_Raiatea"
"102";"Abelmoschus moschatus_Raivavae"
"103";"Abelmoschus moschatus_Rarotonga"
"104";"Abelmoschus moschatus_Rarotonga"
"105";"Abelmoschus moschatus_Rotuma"
"106";"Abelmoschus moschatus_Saipan"
"107";"Abelmoschus moschatus_Savai'i"
"108";"Abelmoschus moschatus_Savai'i"
"109";"Abelmoschus moschatus_Savai'i"
"110";"Abelmoschus moschatus_Savai'i"
"111";"Abelmoschus moschatus_Savai'i"
"112";"Abelmoschus moschatus_Savai'i"
"113";"Abelmoschus moschatus_NA"
"114";"Abelmoschus moschatus_Ta'u"
"115";"Abelmoschus moschatus_Ta'u"
"116";"Abelmoschus moschatus_Ta'u"
"117";"Abelmoschus moschatus_Ta'u"
"118";"Abelmoschus moschatus_Ta'u"
"119";"Abelmoschus moschatus_Ta'u"
"120";"Abelmoschus moschatus_Ta'u"
"121";"Abelmoschus moschatus_Ta'u"
"122";"Abelmoschus moschatus_Taha'a"
"123";"Abelmoschus moschatus_Taha'a"
"124";"Abelmoschus moschatus_Tahiti"
"125";"Abelmoschus moschatus_Tahiti"
"126";"Abelmoschus moschatus_Taveuni"
"127";"Abelmoschus moschatus_Tobi"
"128";"Abelmoschus moschatus_Tobi"
"129";"Abelmoschus moschatus_Tobi"
"130";"Abelmoschus moschatus_Tongatapu"
